City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
128,Hobart,AU,-42.8794,147.3294,52.27,89,0,9.22,moderate rain
129,Urumqi,CN,43.801,87.6005,68.95,53,0,6.71,clear sky
130,Capitan Bado,PY,-23.2667,-55.5333,67.5,74,3,8.19,clear sky
131,Sola,VU,-13.8833,167.55,81.32,77,62,16.87,broken clouds
132,Takab,IR,36.4009,47.1133,59.79,59,0,3.8,clear sky
133,Alofi,NU,-19.0595,-169.9187,79.03,75,100,20.38,overcast clouds
134,Rocha,UY,-34.4833,-54.3333,53.08,92,100,3.33,light rain
135,Shieli,KZ,44.1667,66.75,80.37,22,0,11.34,clear sky
136,Tiksi,RU,71.6872,128.8694,34.39,77,13,8.08,few clouds
137,Siilinjarvi,FI,63.0833,27.6667,48.22,93,100,12.66,light intensity drizzle
138,Lebu,CL,-37.6167,-73.65,50.25,83,94,5.73,overcast clouds
139,Talnakh,RU,69.4865,88.3972,52.21,93,100,9.57,moderate rain
140,Lac Du Bonnet,CA,50.2536,-96.0612,61.21,81,3,8.63,clear sky
141,Upernavik,GL,72.7868,-56.1549,32.76,78,1,7.09,clear sky
142,Tosu,JP,33.3667,130.5167,85.08,56,77,5.06,broken clouds
143,Tukrah,LY,32.5341,20.5791,72.19,82,0,6.8,clear sky
144,Kaitangata,NZ,-46.2817,169.8464,46.26,62,10,3.24,clear sky
145,Nemuro,JP,43.3236,145.575,54.03,96,89,3.47,overcast clouds
146,Goderich,CA,43.7501,-81.7165,71.92,46,0,9.22,clear sky
147,Verkhnevilyuysk,RU,63.4453,120.3167,65.03,42,1,8.23,clear sky
148,Karratha,AU,-20.7377,116.8463,78.71,37,92,12.15,overcast clouds
149,Eureka,US,40.8021,-124.1637,59.74,74,100,4.0,overcast clouds
150,Kudahuvadhoo,MV,2.6708,72.8944,83.79,72,100,9.24,overcast clouds
151,Yumen,CN,40.2833,97.2,80.69,21,50,16.24,scattered clouds
152,Masuguru,TZ,-11.3667,38.4167,70.16,74,56,2.01,broken clouds
153,Campbell River,CA,50.0163,-125.2446,60.33,76,75,0.0,broken clouds
154,Codrington,AU,-38.2667,141.9667,56.41,78,100,6.62,overcast clouds
155,Tvedestrand,NO,58.622,8.9315,55.51,74,22,4.43,few clouds
156,Isla Vista,US,34.4133,-119.861,77.99,70,0,3.44,clear sky
157,Quatre Cocos,MU,-20.2078,57.7625,70.09,73,1,7.16,clear sky
158,Zyryanka,RU,65.75,150.85,70.34,15,25,16.49,scattered clouds
159,Coihaique,CL,-45.5752,-72.0662,36.21,96,26,6.58,scattered clouds
160,Magole,TZ,-6.3667,37.3667,64.69,96,9,2.26,clear sky
161,Green River,US,41.5286,-109.4662,85.19,12,1,8.01,clear sky
162,Fortuna,US,40.5982,-124.1573,57.92,72,100,4.0,overcast clouds
163,Cherskiy,RU,68.75,161.3,56.34,31,51,10.87,broken clouds
164,Aden,YE,12.7794,45.0367,85.93,77,98,4.68,overcast clouds
165,Vardo,NO,70.3705,31.1107,40.98,81,100,14.97,overcast clouds
166,Lebyazhye,RU,55.2689,66.4947,65.53,69,0,5.26,clear sky
167,Christchurch,NZ,-43.5333,172.6333,50.41,78,75,6.91,broken clouds
168,Quelimane,MZ,-17.8786,36.8883,66.99,93,35,5.48,light rain
169,Boffa,GN,10.1667,-14.0333,77.85,91,100,4.83,overcast clouds
170,Tura,IN,25.5198,90.2201,74.61,97,99,7.27,heavy intensity rain
171,Mar Del Plata,AR,-38.0023,-57.5575,43.09,90,0,5.75,mist
172,Pisco,PE,-13.7,-76.2167,63.01,82,3,5.75,haze
173,Qaanaaq,GL,77.484,-69.3632,32.25,80,17,3.74,few clouds
174,Aklavik,CA,68.2191,-135.0107,71.87,36,24,5.64,few clouds
175,Soyo,AO,-6.1349,12.3689,71.17,86,95,5.68,overcast clouds
